sortie_id,cadet_id,instructor_id,aircraft_id,base_id,scheduled_start,scheduled_end,actual_start,actual_end,status,delay_minutes,cancel_reason,lesson_type,flight_duration_hrs
S00074,C094,I013,A015,Bangalore,2025-02-16 09:00:00,2025-02-16 10:30:00,2025-02-16 09:19:00,2025-02-16 10:49:00,completed,19,,General Handling,1.5
S00075,C055,I021,A001,Chennai,2025-03-31 05:00:00,2025-03-31 06:30:00,2025-03-31 05:11:00,2025-03-31 06:41:00,completed,11,,Circuit,1.5
S00076,C160,I016,A012,Bangalore,2025-05-25 15:00:00,2025-05-25 16:30:00,2025-05-25 15:25:00,2025-05-25 16:55:00,completed,25,,Navigation,1.5
S00077,C002,I024,A010,Pune,2025-02-06 16:00:00,2025-02-06 17:30:00,2025-02-06 16:40:00,2025-02-06 18:10:00,completed,40,,Navigation,1.5
S00078,C067,I017,A006,Pune,2025-01-24 16:00:00,2025-01-24 17:30:00,2025-01-24 16:33:00,2025-01-24 18:03:00,completed,33,,Circuit,1.5
S00079,C022,I014,A008,Chennai,2025-04-07 11:00:00,2025-04-07 12:30:00,2025-04-07 11:29:00,2025-04-07 12:59:00,completed,29,,General Handling,1.5
S00080,C064,I004,A006,Bangalore,2025-02-10 10:00:00,2025-02-10 11:30:00,2025-02-10 10:19:00,2025-02-10 11:49:00,completed,19,,General Handling,1.5
S00081,C167,I027,A016,Bangalore,2025-05-26 14:00:00,2025-05-26 15:30:00,2025-05-26 14:05:00,2025-05-26 15:35:00,completed,5,,Navigation,1.5
S00082,C182,I003,A017,Bangalore,2025-02-09 07:00:00,2025-02-09 08:30:00,,,cancelled,0,Aircraft Defect,Night Flying,
S00083,C056,I014,A003,Chennai,2025-01-13 15:00:00,2025-01-13 16:30:00,2025-01-13 15:05:00,2025-01-13 16:35:00,completed,5,,General Handling,1.5
S00084,C092,I023,A016,Hyderabad,2025-04-24 15:00:00,2025-04-24 16:30:00,2025-04-24 15:27:00,2025-04-24 16:57:00,completed,27,,Cross Country,1.5
S00085,C169,I014,A021,Chennai,2025-06-05 12:00:00,2025-06-05 13:30:00,2025-06-05 12:26:00,2025-06-05 13:56:00,completed,26,,General Handling,1.5
S00086,C015,I009,A024,Pune,2025-02-25 17:00:00,2025-02-25 18:30:00,2025-02-25 18:35:00,2025-02-25 20:05:00,delayed,95,,Navigation,1.5
S00087,C053,I012,A016,Hyderabad,2025-03-30 11:00:00,2025-03-30 12:30:00,2025-03-30 11:07:00,2025-03-30 12:37:00,completed,7,,General Handling,1.5
S00088,C081,I021,A001,Chennai,2025-06-23 15:00:00,2025-06-23 16:30:00,2025-06-23 15:37:00,2025-06-23 17:07:00,completed,37,,Cross Country,1.5
S00089,C113,I018,A013,Mysuru,2025-05-15 15:00:00,2025-05-15 16:30:00,2025-05-15 15:19:00,2025-05-15 16:49:00,completed,19,,Navigation,1.5
S00090,C128,I028,A017,Hyderabad,2025-02-26 11:00:00,2025-02-26 12:30:00,2025-02-26 11:38:00,2025-02-26 13:08:00,completed,38,,Navigation,1.5
S00091,C058,I012,A015,Hyderabad,2025-01-02 08:00:00,2025-01-02 09:30:00,2025-01-02 08:19:00,2025-01-02 09:49:00,completed,19,,Circuit,1.5
S00092,C007,I022,A007,Pune,2025-02-05 17:00:00,2025-02-05 18:30:00,2025-02-05 18:02:00,2025-02-05 19:32:00,delayed,62,,General Handling,1.5
S00093,C005,I016,A025,Bangalore,2025-03-25 06:00:00,2025-03-25 07:30:00,2025-03-25 06:00:00,2025-03-25 07:30:00,completed,0,,Cross Country,1.5
S00094,C066,I001,A013,Bangalore,2025-04-21 07:00:00,2025-04-21 08:30:00,2025-04-21 07:08:00,2025-04-21 08:38:00,completed,8,,Cross Country,1.5
S00095,C053,I002,A020,Hyderabad,2025-05-17 16:00:00,2025-05-17 17:30:00,2025-05-17 16:14:00,2025-05-17 17:44:00,completed,14,,Night Flying,1.5
S00096,C129,I009,A010,Chennai,2025-05-24 18:00:00,2025-05-24 19:30:00,2025-05-24 19:55:00,2025-05-24 21:25:00,delayed,115,,General Handling,1.5
S00097,C095,I003,A012,Chennai,2025-01-19 11:00:00,2025-01-19 12:30:00,2025-01-19 11:02:00,2025-01-19 12:32:00,completed,2,,Cross Country,1.5
S00098,C088,I013,A016,Bangalore,2025-01-05 12:00:00,2025-01-05 13:30:00,2025-01-05 12:04:00,2025-01-05 13:34:00,completed,4,,General Handling,1.5
S00099,C174,I023,A016,Bangalore,2025-05-28 11:00:00,2025-05-28 12:30:00,2025-05-28 11:36:00,2025-05-28 13:06:00,completed,36,,Cross Country,1.5
S00100,C160,I005,A014,Bangalore,2025-06-13 11:00:00,2025-06-13 12:30:00,2025-06-13 11:18:00,2025-06-13 12:48:00,completed,18,,Navigation,1.5
S00101,C178,I007,A023,Hyderabad,2025-04-14 05:00:00,2025-04-14 06:30:00,2025-04-14 05:20:00,2025-04-14 06:50:00,completed,20,,Circuit,1.5
S00102,C067,I029,A007,Pune,2025-06-08 12:00:00,2025-06-08 13:30:00,2025-06-08 13:58:00,2025-06-08 15:28:00,delayed,118,,General Handling,1.5
S00103,C004,I025,A025,Mysuru,2025-01-23 11:00:00,2025-01-23 12:30:00,2025-01-23 11:06:00,2025-01-23 12:36:00,completed,6,,Circuit,1.5
S00104,C120,I012,A016,Hyderabad,2025-04-22 14:00:00,2025-04-22 15:30:00,2025-04-22 15:21:00,2025-04-22 16:51:00,delayed,81,,Night Flying,1.5
S00105,C175,I028,A010,Hyderabad,2025-01-21 11:00:00,2025-01-21 12:30:00,2025-01-21 12:09:00,2025-01-21 13:39:00,delayed,69,,General Handling,1.5
S00106,C064,I012,A015,Bangalore,2025-02-26 10:00:00,2025-02-26 11:30:00,2025-02-26 10:10:00,2025-02-26 11:40:00,completed,10,,Navigation,1.5
S00107,C090,I008,A001,Bangalore,2025-05-11 15:00:00,2025-05-11 16:30:00,2025-05-11 15:07:00,2025-05-11 16:37:00,completed,7,,Night Flying,1.5
S00108,C174,I001,A017,Bangalore,2025-05-11 08:00:00,2025-05-11 09:30:00,,,cancelled,0,Weather,General Handling,
S00109,C058,I016,A024,Hyderabad,2025-03-31 16:00:00,2025-03-31 17:30:00,2025-03-31 16:09:00,2025-03-31 17:39:00,completed,9,,Circuit,1.5
S00110,C062,I022,A011,Pune,2025-01-27 07:00:00,2025-01-27 08:30:00,,,cancelled,0,Weather,General Handling,
S00111,C153,I024,A012,Hyderabad,2025-02-20 07:00:00,2025-02-20 08:30:00,2025-02-20 07:38:00,2025-02-20 09:08:00,completed,38,,Circuit,1.5
S00112,C102,I026,A015,Pune,2025-06-17 06:00:00,2025-06-17 07:30:00,2025-06-17 06:52:00,2025-06-17 08:22:00,delayed,52,,Cross Country,1.5
S00113,C071,I029,A002,Mysuru,2025-04-29 17:00:00,2025-04-29 18:30:00,2025-04-29 18:42:00,2025-04-29 20:12:00,delayed,102,,Night Flying,1.5
S00114,C118,I016,A001,Mysuru,2025-04-25 15:00:00,2025-04-25 16:30:00,,,cancelled,0,Weather,Night Flying,
S00115,C118,I001,A024,Mysuru,2025-06-14 15:00:00,2025-06-14 16:30:00,2025-06-14 15:39:00,2025-06-14 17:09:00,completed,39,,General Handling,1.5
S00116,C123,I008,A024,Chennai,2025-06-10 10:00:00,2025-06-10 11:30:00,2025-06-10 10:09:00,2025-06-10 11:39:00,completed,9,,Cross Country,1.5
S00117,C083,I023,A006,Bangalore,2025-01-18 12:00:00,2025-01-18 13:30:00,2025-01-18 13:26:00,2025-01-18 14:56:00,delayed,86,,General Handling,1.5
S00118,C092,I010,A017,Hyderabad,2025-03-12 14:00:00,2025-03-12 15:30:00,2025-03-12 14:03:00,2025-03-12 15:33:00,completed,3,,General Handling,1.5
S00119,C044,I015,A010,Pune,2025-05-10 06:00:00,2025-05-10 07:30:00,2025-05-10 06:19:00,2025-05-10 07:49:00,completed,19,,Cross Country,1.5
S00120,C049,I018,A013,Mysuru,2025-04-26 05:00:00,2025-04-26 06:30:00,2025-04-26 05:03:00,2025-04-26 06:33:00,completed,3,,General Handling,1.5
S00121,C187,I004,A015,Mysuru,2025-03-15 06:00:00,2025-03-15 07:30:00,,,cancelled,0,Weather,Navigation,
S00122,C004,I010,A025,Mysuru,2025-06-07 14:00:00,2025-06-07 15:30:00,2025-06-07 14:32:00,2025-06-07 16:02:00,completed,32,,Cross Country,1.5
S00123,C172,I014,A023,Chennai,2025-04-29 14:00:00,2025-04-29 15:30:00,2025-04-29 14:35:00,2025-04-29 16:05:00,completed,35,,Navigation,1.5
S00124,C068,I003,A024,Pune,2025-04-26 17:00:00,2025-04-26 18:30:00,2025-04-26 17:36:00,2025-04-26 19:06:00,completed,36,,Circuit,1.5
S00125,C175,I019,A006,Hyderabad,2025-03-24 14:00:00,2025-03-24 15:30:00,2025-03-24 14:30:00,2025-03-24 16:00:00,completed,30,,Night Flying,1.5
S00126,C063,I001,A012,Mysuru,2025-02-08 05:00:00,2025-02-08 06:30:00,2025-02-08 05:28:00,2025-02-08 06:58:00,completed,28,,Navigation,1.5
S00127,C140,I003,A012,Mysuru,2025-03-29 16:00:00,2025-03-29 17:30:00,2025-03-29 16:05:00,2025-03-29 17:35:00,completed,5,,Night Flying,1.5
S00128,C038,I010,A012,Hyderabad,2025-06-15 07:00:00,2025-06-15 08:30:00,2025-06-15 07:02:00,2025-06-15 08:32:00,completed,2,,Circuit,1.5
S00129,C177,I012,A016,Mysuru,2025-04-23 12:00:00,2025-04-23 13:30:00,2025-04-23 12:33:00,2025-04-23 14:03:00,completed,33,,Night Flying,1.5
S00130,C145,I008,A013,Bangalore,2025-06-06 07:00:00,2025-06-06 08:30:00,2025-06-06 07:23:00,2025-06-06 08:53:00,completed,23,,General Handling,1.5
S00131,C096,I010,A013,Mysuru,2025-03-14 11:00:00,2025-03-14 12:30:00,2025-03-14 11:26:00,2025-03-14 12:56:00,completed,26,,General Handling,1.5
S00132,C008,I026,A015,Mysuru,2025-06-23 14:00:00,2025-06-23 15:30:00,2025-06-23 14:03:00,2025-06-23 15:33:00,completed,3,,General Handling,1.5
S00133,C037,I009,A012,Mysuru,2025-01-17 10:00:00,2025-01-17 11:30:00,2025-01-17 10:06:00,2025-01-17 11:36:00,completed,6,,Night Flying,1.5
S00134,C015,I012,A016,Pune,2025-06-23 11:00:00,2025-06-23 12:30:00,2025-06-23 11:18:00,2025-06-23 12:48:00,completed,18,,General Handling,1.5
S00135,C131,I006,A015,Hyderabad,2025-06-18 14:00:00,2025-06-18 15:30:00,2025-06-18 14:09:00,2025-06-18 15:39:00,completed,9,,General Handling,1.5
S00136,C177,I029,A011,Mysuru,2025-01-21 14:00:00,2025-01-21 15:30:00,2025-01-21 14:09:00,2025-01-21 15:39:00,completed,9,,General Handling,1.5
S00137,C173,I012,A015,Chennai,2025-03-21 15:00:00,2025-03-21 16:30:00,2025-03-21 15:25:00,2025-03-21 16:55:00,completed,25,,Circuit,1.5
S00138,C176,I008,A024,Chennai,2025-06-02 16:00:00,2025-06-02 17:30:00,2025-06-02 16:05:00,2025-06-02 17:35:00,completed,5,,General Handling,1.5
S00139,C046,I010,A025,Hyderabad,2025-05-24 11:00:00,2025-05-24 12:30:00,2025-05-24 11:21:00,2025-05-24 12:51:00,completed,21,,Circuit,1.5
S00140,C155,I008,A024,Bangalore,2025-06-21 16:00:00,2025-06-21 17:30:00,2025-06-21 16:33:00,2025-06-21 18:03:00,completed,33,,Navigation,1.5
S00141,C172,I029,A011,Chennai,2025-06-15 15:00:00,2025-06-15 16:30:00,,,cancelled,0,ATC Restriction,Cross Country,
S00142,C184,I015,A025,Bangalore,2025-05-11 10:00:00,2025-05-11 11:30:00,2025-05-11 10:32:00,2025-05-11 12:02:00,delayed,32,,General Handling,1.5
S00143,C097,I018,A010,Pune,2025-03-21 07:00:00,2025-03-21 08:30:00,2025-03-21 07:13:00,2025-03-21 08:43:00,completed,13,,General Handling,1.5
S00144,C194,I014,A009,Mysuru,2025-05-05 08:00:00,2025-05-05 09:30:00,2025-05-05 08:14:00,2025-05-05 09:44:00,completed,14,,Circuit,1.5
S00145,C080,I009,A024,Chennai,2025-02-09 06:00:00,2025-02-09 07:30:00,2025-02-09 06:18:00,2025-02-09 07:48:00,completed,18,,Navigation,1.5
S00146,C159,I015,A010,Pune,2025-05-10 17:00:00,2025-05-10 18:30:00,2025-05-10 17:34:00,2025-05-10 19:04:00,completed,34,,Night Flying,1.5
S00147,C192,I020,A014,Chennai,2025-01-10 15:00:00,2025-01-10 16:30:00,2025-01-10 16:13:00,2025-01-10 17:43:00,delayed,73,,Night Flying,1.5
S00148,C036,I019,A006,Chennai,2025-02-03 14:00:00,2025-02-03 15:30:00,2025-02-03 14:24:00,2025-02-03 15:54:00,completed,24,,Circuit,1.5
S00149,C189,I026,A016,Mysuru,2025-02-11 07:00:00,2025-02-11 08:30:00,2025-02-11 07:39:00,2025-02-11 09:09:00,completed,39,,Circuit,1.5
S00150,C035,I017,A016,Mysuru,2025-04-23 05:00:00,2025-04-23 06:30:00,2025-04-23 06:22:00,2025-04-23 07:52:00,delayed,82,,General Handling,1.5
S00151,C085,I026,A016,Hyderabad,2025-06-23 16:00:00,2025-06-23 17:30:00,2025-06-23 16:15:00,2025-06-23 17:45:00,completed,15,,Cross Country,1.5
S00152,C066,I001,A001,Bangalore,2025-06-06 09:00:00,2025-06-06 10:30:00,,,cancelled,0,Weather,Cross Country,
S00153,C166,I005,A011,Chennai,2025-03-01 13:00:00,2025-03-01 14:30:00,,,cancelled,0,Aircraft Defect,Circuit,
S00154,C092,I008,A001,Hyderabad,2025-03-21 17:00:00,2025-03-21 18:30:00,2025-03-21 17:30:00,2025-03-21 19:00:00,completed,30,,Circuit,1.5
S00155,C007,I017,A006,Pune,2025-04-05 15:00:00,2025-04-05 16:30:00,2025-04-05 15:36:00,2025-04-05 17:06:00,completed,36,,Cross Country,1.5
S00156,C032,I012,A015,Mysuru,2025-04-29 17:00:00,2025-04-29 18:30:00,,,cancelled,0,ATC Restriction,General Handling,
S00157,C146,I029,A008,Bangalore,2025-04-08 13:00:00,2025-04-08 14:30:00,2025-04-08 13:33:00,2025-04-08 15:03:00,completed,33,,Cross Country,1.5
S00158,C173,I020,A003,Chennai,2025-02-11 18:00:00,2025-02-11 19:30:00,2025-02-11 18:12:00,2025-02-11 19:42:00,completed,12,,Night Flying,1.5
S00159,C051,I008,A012,Hyderabad,2025-02-05 18:00:00,2025-02-05 19:30:00,2025-02-05 18:16:00,2025-02-05 19:46:00,completed,16,,Navigation,1.5
S00160,C116,I023,A006,Hyderabad,2025-06-14 12:00:00,2025-06-14 13:30:00,2025-06-14 12:23:00,2025-06-14 13:53:00,completed,23,,Night Flying,1.5
S00161,C057,I015,A025,Mysuru,2025-01-27 16:00:00,2025-01-27 17:30:00,2025-01-27 16:33:00,2025-01-27 18:03:00,completed,33,,Navigation,1.5
S00162,C045,I024,A013,Hyderabad,2025-03-14 06:00:00,2025-03-14 07:30:00,2025-03-14 06:10:00,2025-03-14 07:40:00,completed,10,,General Handling,1.5
S00163,C068,I017,A016,Pune,2025-04-26 13:00:00,2025-04-26 14:30:00,2025-04-26 13:09:00,2025-04-26 14:39:00,completed,9,,Cross Country,1.5
S00164,C177,I029,A005,Mysuru,2025-01-24 08:00:00,2025-01-24 09:30:00,2025-01-24 08:28:00,2025-01-24 09:58:00,completed,28,,General Handling,1.5
