sortie_id,cadet_id,instructor_id,aircraft_id,base_id,scheduled_start,scheduled_end,actual_start,actual_end,status,delay_minutes,cancel_reason,lesson_type
S00036,C008,I023,A016,Mysuru,2025-03-12 18:00:00,2025-03-12 19:30:00,,,cancelled,0,ATC Restriction,Circuit
S00037,C148,I009,A001,Hyderabad,2025-02-03 13:00:00,2025-02-03 14:30:00,2025-02-03 13:16:00,2025-02-03 14:46:00,completed,16,,Circuit
S00038,C061,I021,A001,Chennai,2025-01-29 15:00:00,2025-01-29 16:30:00,2025-01-29 15:01:00,2025-01-29 16:31:00,completed,1,,Circuit
S00039,C002,I003,A024,Pune,2025-01-04 10:00:00,2025-01-04 11:30:00,,,cancelled,0,ATC Restriction,Circuit
S00040,C109,I009,A024,Hyderabad,2025-05-31 10:00:00,2025-05-31 11:30:00,2025-05-31 10:32:00,2025-05-31 12:02:00,delayed,32,,Circuit
S00041,C094,I005,A019,Bangalore,2025-03-09 05:00:00,2025-03-09 06:30:00,2025-03-09 05:46:00,2025-03-09 07:16:00,delayed,46,,Cross Country
S00042,C006,I029,A009,Chennai,2025-05-15 06:00:00,2025-05-15 07:30:00,,,cancelled,0,Weather,Navigation
S00043,C005,I019,A015,Bangalore,2025-05-02 12:00:00,2025-05-02 13:30:00,2025-05-02 12:23:00,2025-05-02 13:53:00,completed,23,,Night Flying
S00044,C082,I008,A025,Pune,2025-06-01 06:00:00,2025-06-01 07:30:00,2025-06-01 06:28:00,2025-06-01 07:58:00,completed,28,,Night Flying
S00045,C070,I004,A006,Mysuru,2025-02-26 14:00:00,2025-02-26 15:30:00,2025-02-26 14:35:00,2025-02-26 16:05:00,delayed,35,,Night Flying
S00046,C101,I012,A006,Chennai,2025-03-19 12:00:00,2025-03-19 13:30:00,2025-03-19 13:52:00,2025-03-19 15:22:00,delayed,112,,Navigation
S00047,C127,I019,A016,Bangalore,2025-01-16 12:00:00,2025-01-16 13:30:00,2025-01-16 12:25:00,2025-01-16 13:55:00,completed,25,,Cross Country
S00048,C022,I006,A016,Chennai,2025-06-25 06:00:00,2025-06-25 07:30:00,2025-06-25 06:31:00,2025-06-25 08:01:00,completed,31,,Cross Country
S00049,C165,I018,A010,Mysuru,2025-01-19 06:00:00,2025-01-19 07:30:00,2025-01-19 06:20:00,2025-01-19 07:50:00,completed,20,,Night Flying
S00050,C140,I015,A010,Mysuru,2025-02-07 06:00:00,2025-02-07 07:30:00,2025-02-07 06:08:00,2025-02-07 07:38:00,completed,8,,General Handling
S00051,C067,I008,A013,Pune,2025-06-09 15:00:00,2025-06-09 16:30:00,2025-06-09 16:44:00,2025-06-09 18:14:00,delayed,104,,Night Flying
S00052,C114,I022,A018,Pune,2025-03-25 11:00:00,2025-03-25 12:30:00,2025-03-25 12:46:00,2025-03-25 14:16:00,delayed,106,,Night Flying
S00053,C142,I016,A010,Hyderabad,2025-03-17 12:00:00,2025-03-17 13:30:00,,,cancelled,0,Weather,Night Flying
S00054,C070,I026,A016,Mysuru,2025-06-04 11:00:00,2025-06-04 12:30:00,2025-06-04 11:06:00,2025-06-04 12:36:00,completed,6,,Navigation
S00055,C025,I019,A015,Bangalore,2025-06-17 15:00:00,2025-06-17 16:30:00,2025-06-17 15:35:00,2025-06-17 17:05:00,completed,35,,Circuit
S00056,C053,I009,A010,Hyderabad,2025-04-21 12:00:00,2025-04-21 13:30:00,2025-04-21 12:14:00,2025-04-21 13:44:00,completed,14,,Cross Country
S00057,C012,I014,A020,Mysuru,2025-03-28 18:00:00,2025-03-28 19:30:00,2025-03-28 18:29:00,2025-03-28 19:59:00,completed,29,,Cross Country
S00058,C070,I024,A012,Mysuru,2025-04-17 16:00:00,2025-04-17 17:30:00,2025-04-17 16:06:00,2025-04-17 17:36:00,completed,6,,General Handling
S00059,C149,I024,A025,Chennai,2025-04-20 10:00:00,2025-04-20 11:30:00,2025-04-20 11:55:00,2025-04-20 13:25:00,delayed,115,,General Handling
S00060,C099,I027,A016,Hyderabad,2025-04-06 07:00:00,2025-04-06 08:30:00,,,cancelled,0,Aircraft Defect,Cross Country
S00061,C010,I029,A014,Chennai,2025-01-18 06:00:00,2025-01-18 07:30:00,2025-01-18 06:05:00,2025-01-18 07:35:00,completed,5,,Navigation
S00062,C092,I023,A016,Hyderabad,2025-04-21 06:00:00,2025-04-21 07:30:00,2025-04-21 06:23:00,2025-04-21 07:53:00,completed,23,,Circuit
S00063,C042,I006,A016,Chennai,2025-05-23 05:00:00,2025-05-23 06:30:00,2025-05-23 05:37:00,2025-05-23 07:07:00,completed,37,,Night Flying
S00064,C159,I028,A001,Pune,2025-05-24 10:00:00,2025-05-24 11:30:00,2025-05-24 10:07:00,2025-05-24 11:37:00,completed,7,,Cross Country
S00065,C153,I026,A016,Hyderabad,2025-04-01 18:00:00,2025-04-01 19:30:00,2025-04-01 18:27:00,2025-04-01 19:57:00,completed,27,,Navigation
S00066,C073,I001,A017,Pune,2025-03-15 14:00:00,2025-03-15 15:30:00,2025-03-15 15:09:00,2025-03-15 16:39:00,delayed,69,,General Handling
S00067,C158,I008,A024,Chennai,2025-01-27 14:00:00,2025-01-27 15:30:00,,,cancelled,0,Weather,Night Flying
S00068,C197,I004,A006,Pune,2025-02-24 07:00:00,2025-02-24 08:30:00,2025-02-24 08:54:00,2025-02-24 10:24:00,delayed,114,,Cross Country
S00069,C011,I025,A024,Bangalore,2025-02-27 18:00:00,2025-02-27 19:30:00,2025-02-27 18:06:00,2025-02-27 19:36:00,completed,6,,General Handling
S00070,C033,I016,A025,Mysuru,2025-05-23 10:00:00,2025-05-23 11:30:00,2025-05-23 10:07:00,2025-05-23 11:37:00,completed,7,,General Handling
S00071,C059,I022,A002,Mysuru,2025-05-27 08:00:00,2025-05-27 09:30:00,2025-05-27 09:24:00,2025-05-27 10:54:00,delayed,84,,Night Flying
S00072,C188,I024,A001,Chennai,2025-06-09 14:00:00,2025-06-09 15:30:00,,,cancelled,0,ATC Restriction,Night Flying
S00073,C013,I029,A014,Pune,2025-01-07 14:00:00,2025-01-07 15:30:00,2025-01-07 14:17:00,2025-01-07 15:47:00,completed,17,,Navigation
S00074,C094,I013,A015,Bangalore,2025-02-16 09:00:00,2025-02-16 10:30:00,2025-02-16 09:19:00,2025-02-16 10:49:00,completed,19,,General Handling
S00075,C055,I021,A001,Chennai,2025-03-31 05:00:00,2025-03-31 06:30:00,2025-03-31 05:11:00,2025-03-31 06:41:00,completed,11,,Circuit
S00076,C160,I016,A012,Bangalore,2025-05-25 15:00:00,2025-05-25 16:30:00,2025-05-25 15:25:00,2025-05-25 16:55:00,completed,25,,Navigation
S00077,C002,I024,A010,Pune,2025-02-06 16:00:00,2025-02-06 17:30:00,2025-02-06 16:40:00,2025-02-06 18:10:00,completed,40,,Navigation
S00078,C067,I017,A006,Pune,2025-01-24 16:00:00,2025-01-24 17:30:00,2025-01-24 16:33:00,2025-01-24 18:03:00,completed,33,,Circuit
S00079,C022,I014,A008,Chennai,2025-04-07 11:00:00,2025-04-07 12:30:00,2025-04-07 11:29:00,2025-04-07 12:59:00,completed,29,,General Handling
S00080,C064,I004,A006,Bangalore,2025-02-10 10:00:00,2025-02-10 11:30:00,2025-02-10 10:19:00,2025-02-10 11:49:00,completed,19,,General Handling
S00081,C167,I027,A016,Bangalore,2025-05-26 14:00:00,2025-05-26 15:30:00,2025-05-26 14:05:00,2025-05-26 15:35:00,completed,5,,Navigation
S00082,C182,I003,A017,Bangalore,2025-02-09 07:00:00,2025-02-09 08:30:00,,,cancelled,0,Aircraft Defect,Night Flying
S00083,C056,I014,A003,Chennai,2025-01-13 15:00:00,2025-01-13 16:30:00,2025-01-13 15:05:00,2025-01-13 16:35:00,completed,5,,General Handling
S00084,C092,I023,A016,Hyderabad,2025-04-24 15:00:00,2025-04-24 16:30:00,2025-04-24 15:27:00,2025-04-24 16:57:00,completed,27,,Cross Country
S00085,C169,I014,A021,Chennai,2025-06-05 12:00:00,2025-06-05 13:30:00,2025-06-05 12:26:00,2025-06-05 13:56:00,completed,26,,General Handling
S00086,C015,I009,A024,Pune,2025-02-25 17:00:00,2025-02-25 18:30:00,2025-02-25 18:35:00,2025-02-25 20:05:00,delayed,95,,Navigation
S00087,C053,I012,A016,Hyderabad,2025-03-30 11:00:00,2025-03-30 12:30:00,2025-03-30 11:07:00,2025-03-30 12:37:00,completed,7,,General Handling
S00088,C081,I021,A001,Chennai,2025-06-23 15:00:00,2025-06-23 16:30:00,2025-06-23 15:37:00,2025-06-23 17:07:00,completed,37,,Cross Country
S00089,C113,I018,A013,Mysuru,2025-05-15 15:00:00,2025-05-15 16:30:00,2025-05-15 15:19:00,2025-05-15 16:49:00,completed,19,,Navigation
S00090,C128,I028,A017,Hyderabad,2025-02-26 11:00:00,2025-02-26 12:30:00,2025-02-26 11:38:00,2025-02-26 13:08:00,completed,38,,Navigation
S00091,C058,I012,A015,Hyderabad,2025-01-02 08:00:00,2025-01-02 09:30:00,2025-01-02 08:19:00,2025-01-02 09:49:00,completed,19,,Circuit
S00092,C007,I022,A007,Pune,2025-02-05 17:00:00,2025-02-05 18:30:00,2025-02-05 18:02:00,2025-02-05 19:32:00,delayed,62,,General Handling
S00093,C005,I016,A025,Bangalore,2025-03-25 06:00:00,2025-03-25 07:30:00,2025-03-25 06:00:00,2025-03-25 07:30:00,completed,0,,Cross Country
S00094,C066,I001,A013,Bangalore,2025-04-21 07:00:00,2025-04-21 08:30:00,2025-04-21 07:08:00,2025-04-21 08:38:00,completed,8,,Cross Country
S00095,C053,I002,A020,Hyderabad,2025-05-17 16:00:00,2025-05-17 17:30:00,2025-05-17 16:14:00,2025-05-17 17:44:00,completed,14,,Night Flying
S00096,C129,I009,A010,Chennai,2025-05-24 18:00:00,2025-05-24 19:30:00,2025-05-24 19:55:00,2025-05-24 21:25:00,delayed,115,,General Handling
S00097,C095,I003,A012,Chennai,2025-01-19 11:00:00,2025-01-19 12:30:00,2025-01-19 11:02:00,2025-01-19 12:32:00,completed,2,,Cross Country
S00098,C088,I013,A016,Bangalore,2025-01-05 12:00:00,2025-01-05 13:30:00,2025-01-05 12:04:00,2025-01-05 13:34:00,completed,4,,General Handling
S00099,C174,I023,A016,Bangalore,2025-05-28 11:00:00,2025-05-28 12:30:00,2025-05-28 11:36:00,2025-05-28 13:06:00,completed,36,,Cross Country
S00100,C160,I005,A014,Bangalore,2025-06-13 11:00:00,2025-06-13 12:30:00,2025-06-13 11:18:00,2025-06-13 12:48:00,completed,18,,Navigation
S00101,C178,I007,A023,Hyderabad,2025-04-14 05:00:00,2025-04-14 06:30:00,2025-04-14 05:20:00,2025-04-14 06:50:00,completed,20,,Circuit
S00102,C067,I029,A007,Pune,2025-06-08 12:00:00,2025-06-08 13:30:00,2025-06-08 13:58:00,2025-06-08 15:28:00,delayed,118,,General Handling
S00103,C004,I025,A025,Mysuru,2025-01-23 11:00:00,2025-01-23 12:30:00,2025-01-23 11:06:00,2025-01-23 12:36:00,completed,6,,Circuit
S00104,C120,I012,A016,Hyderabad,2025-04-22 14:00:00,2025-04-22 15:30:00,2025-04-22 15:21:00,2025-04-22 16:51:00,delayed,81,,Night Flying
S00105,C175,I028,A010,Hyderabad,2025-01-21 11:00:00,2025-01-21 12:30:00,2025-01-21 12:09:00,2025-01-21 13:39:00,delayed,69,,General Handling
S00106,C064,I012,A015,Bangalore,2025-02-26 10:00:00,2025-02-26 11:30:00,2025-02-26 10:10:00,2025-02-26 11:40:00,completed,10,,Navigation
S00107,C090,I008,A001,Bangalore,2025-05-11 15:00:00,2025-05-11 16:30:00,2025-05-11 15:07:00,2025-05-11 16:37:00,completed,7,,Night Flying
S00108,C174,I001,A017,Bangalore,2025-05-11 08:00:00,2025-05-11 09:30:00,,,cancelled,0,Weather,General Handling
S00109,C058,I016,A024,Hyderabad,2025-03-31 16:00:00,2025-03-31 17:30:00,2025-03-31 16:09:00,2025-03-31 17:39:00,completed,9,,Circuit
S00110,C062,I022,A011,Pune,2025-01-27 07:00:00,2025-01-27 08:30:00,,,cancelled,0,Weather,General Handling
S00111,C153,I024,A012,Hyderabad,2025-02-20 07:00:00,2025-02-20 08:30:00,2025-02-20 07:38:00,2025-02-20 09:08:00,completed,38,,Circuit
S00112,C102,I026,A015,Pune,2025-06-17 06:00:00,2025-06-17 07:30:00,2025-06-17 06:52:00,2025-06-17 08:22:00,delayed,52,,Cross Country
S00113,C071,I029,A002,Mysuru,2025-04-29 17:00:00,2025-04-29 18:30:00,2025-04-29 18:42:00,2025-04-29 20:12:00,delayed,102,,Night Flying
S00114,C118,I016,A001,Mysuru,2025-04-25 15:00:00,2025-04-25 16:30:00,,,cancelled,0,Weather,Night Flying
S00115,C118,I001,A024,Mysuru,2025-06-14 15:00:00,2025-06-14 16:30:00,2025-06-14 15:39:00,2025-06-14 17:09:00,completed,39,,General Handling
S00116,C123,I008,A024,Chennai,2025-06-10 10:00:00,2025-06-10 11:30:00,2025-06-10 10:09:00,2025-06-10 11:39:00,completed,9,,Cross Country
S00117,C083,I023,A006,Bangalore,2025-01-18 12:00:00,2025-01-18 13:30:00,2025-01-18 13:26:00,2025-01-18 14:56:00,delayed,86,,General Handling
S00118,C092,I010,A017,Hyderabad,2025-03-12 14:00:00,2025-03-12 15:30:00,2025-03-12 14:03:00,2025-03-12 15:33:00,completed,3,,General Handling
S00119,C044,I015,A010,Pune,2025-05-10 06:00:00,2025-05-10 07:30:00,2025-05-10 06:19:00,2025-05-10 07:49:00,completed,19,,Cross Country
S00120,C049,I018,A013,Mysuru,2025-04-26 05:00:00,2025-04-26 06:30:00,2025-04-26 05:03:00,2025-04-26 06:33:00,completed,3,,General Handling
S00121,C187,I004,A015,Mysuru,2025-03-15 06:00:00,2025-03-15 07:30:00,,,cancelled,0,Weather,Navigation
S00122,C004,I010,A025,Mysuru,2025-06-07 14:00:00,2025-06-07 15:30:00,2025-06-07 14:32:00,2025-06-07 16:02:00,completed,32,,Cross Country
S00123,C172,I014,A023,Chennai,2025-04-29 14:00:00,2025-04-29 15:30:00,2025-04-29 14:35:00,2025-04-29 16:05:00,completed,35,,Navigation
S00124,C068,I003,A024,Pune,2025-04-26 17:00:00,2025-04-26 18:30:00,2025-04-26 17:36:00,2025-04-26 19:06:00,completed,36,,Circuit
S00125,C175,I019,A006,Hyderabad,2025-03-24 14:00:00,2025-03-24 15:30:00,2025-03-24 14:30:00,2025-03-24 16:00:00,completed,30,,Night Flying
S00126,C063,I001,A012,Mysuru,2025-02-08 05:00:00,2025-02-08 06:30:00,2025-02-08 05:28:00,2025-02-08 06:58:00,completed,28,,Navigation
S00127,C140,I003,A012,Mysuru,2025-03-29 16:00:00,2025-03-29 17:30:00,2025-03-29 16:05:00,2025-03-29 17:35:00,completed,5,,Night Flying
S00128,C038,I010,A012,Hyderabad,2025-06-15 07:00:00,2025-06-15 08:30:00,2025-06-15 07:02:00,2025-06-15 08:32:00,completed,2,,Circuit
S00129,C177,I012,A016,Mysuru,2025-04-23 12:00:00,2025-04-23 13:30:00,2025-04-23 12:33:00,2025-04-23 14:03:00,completed,33,,Night Flying
S00130,C145,I008,A013,Bangalore,2025-06-06 07:00:00,2025-06-06 08:30:00,2025-06-06 07:23:00,2025-06-06 08:53:00,completed,23,,General Handling
S00131,C096,I010,A013,Mysuru,2025-03-14 11:00:00,2025-03-14 12:30:00,2025-03-14 11:26:00,2025-03-14 12:56:00,completed,26,,General Handling
S00132,C008,I026,A015,Mysuru,2025-06-23 14:00:00,2025-06-23 15:30:00,2025-06-23 14:03:00,2025-06-23 15:33:00,completed,3,,General Handling
S00133,C037,I009,A012,Mysuru,2025-01-17 10:00:00,2025-01-17 11:30:00,2025-01-17 10:06:00,2025-01-17 11:36:00,completed,6,,Night Flying
S00134,C015,I012,A016,Pune,2025-06-23 11:00:00,2025-06-23 12:30:00,2025-06-23 11:18:00,2025-06-23 12:48:00,completed,18,,General Handling
S00135,C131,I006,A015,Hyderabad,2025-06-18 14:00:00,2025-06-18 15:30:00,2025-06-18 14:09:00,2025-06-18 15:39:00,completed,9,,General Handling
S00136,C177,I029,A011,Mysuru,2025-01-21 14:00:00,2025-01-21 15:30:00,2025-01-21 14:09:00,2025-01-21 15:39:00,completed,9,,General Handling
S00137,C173,I012,A015,Chennai,2025-03-21 15:00:00,2025-03-21 16:30:00,2025-03-21 15:25:00,2025-03-21 16:55:00,completed,25,,Circuit
S00138,C176,I008,A024,Chennai,2025-06-02 16:00:00,2025-06-02 17:30:00,2025-06-02 16:05:00,2025-06-02 17:35:00,completed,5,,General Handling
S00139,C046,I010,A025,Hyderabad,2025-05-24 11:00:00,2025-05-24 12:30:00,2025-05-24 11:21:00,2025-05-24 12:51:00,completed,21,,Circuit
S00140,C155,I008,A024,Bangalore,2025-06-21 16:00:00,2025-06-21 17:30:00,2025-06-21 16:33:00,2025-06-21 18:03:00,completed,33,,Navigation
S00141,C172,I029,A011,Chennai,2025-06-15 15:00:00,2025-06-15 16:30:00,,,cancelled,0,ATC Restriction,Cross Country
S00142,C184,I015,A025,Bangalore,2025-05-11 10:00:00,2025-05-11 11:30:00,2025-05-11 10:32:00,2025-05-11 12:02:00,delayed,32,,General Handling
S00143,C097,I018,A010,Pune,2025-03-21 07:00:00,2025-03-21 08:30:00,2025-03-21 07:13:00,2025-03-21 08:43:00,completed,13,,General Handling
S00144,C194,I014,A009,Mysuru,2025-05-05 08:00:00,2025-05-05 09:30:00,2025-05-05 08:14:00,2025-05-05 09:44:00,completed,14,,Circuit
S00145,C080,I009,A024,Chennai,2025-02-09 06:00:00,2025-02-09 07:30:00,2025-02-09 06:18:00,2025-02-09 07:48:00,completed,18,,Navigation
S00146,C159,I015,A010,Pune,2025-05-10 17:00:00,2025-05-10 18:30:00,2025-05-10 17:34:00,2025-05-10 19:04:00,completed,34,,Night Flying
S00147,C192,I020,A014,Chennai,2025-01-10 15:00:00,2025-01-10 16:30:00,2025-01-10 16:13:00,2025-01-10 17:43:00,delayed,73,,Night Flying
S00148,C036,I019,A006,Chennai,2025-02-03 14:00:00,2025-02-03 15:30:00,2025-02-03 14:24:00,2025-02-03 15:54:00,completed,24,,Circuit
S00149,C189,I026,A016,Mysuru,2025-02-11 07:00:00,2025-02-11 08:30:00,2025-02-11 07:39:00,2025-02-11 09:09:00,completed,39,,Circuit
S00150,C035,I017,A016,Mysuru,2025-04-23 05:00:00,2025-04-23 06:30:00,2025-04-23 06:22:00,2025-04-23 07:52:00,delayed,82,,General Handling
S00151,C085,I026,A016,Hyderabad,2025-06-23 16:00:00,2025-06-23 17:30:00,2025-06-23 16:15:00,2025-06-23 17:45:00,completed,15,,Cross Country
S00152,C066,I001,A001,Bangalore,2025-06-06 09:00:00,2025-06-06 10:30:00,,,cancelled,0,Weather,Cross Country
S00153,C166,I005,A011,Chennai,2025-03-01 13:00:00,2025-03-01 14:30:00,,,cancelled,0,Aircraft Defect,Circuit
S00154,C092,I008,A001,Hyderabad,2025-03-21 17:00:00,2025-03-21 18:30:00,2025-03-21 17:30:00,2025-03-21 19:00:00,completed,30,,Circuit
S00155,C007,I017,A006,Pune,2025-04-05 15:00:00,2025-04-05 16:30:00,2025-04-05 15:36:00,2025-04-05 17:06:00,completed,36,,Cross Country
S00156,C032,I012,A015,Mysuru,2025-04-29 17:00:00,2025-04-29 18:30:00,,,cancelled,0,ATC Restriction,General Handling
S00157,C146,I029,A008,Bangalore,2025-04-08 13:00:00,2025-04-08 14:30:00,2025-04-08 13:33:00,2025-04-08 15:03:00,completed,33,,Cross Country
S00158,C173,I020,A003,Chennai,2025-02-11 18:00:00,2025-02-11 19:30:00,2025-02-11 18:12:00,2025-02-11 19:42:00,completed,12,,Night Flying
S00159,C051,I008,A012,Hyderabad,2025-02-05 18:00:00,2025-02-05 19:30:00,2025-02-05 18:16:00,2025-02-05 19:46:00,completed,16,,Navigation
S00160,C116,I023,A006,Hyderabad,2025-06-14 12:00:00,2025-06-14 13:30:00,2025-06-14 12:23:00,2025-06-14 13:53:00,completed,23,,Night Flying
S00161,C057,I015,A025,Mysuru,2025-01-27 16:00:00,2025-01-27 17:30:00,2025-01-27 16:33:00,2025-01-27 18:03:00,completed,33,,Navigation
S00162,C045,I024,A013,Hyderabad,2025-03-14 06:00:00,2025-03-14 07:30:00,2025-03-14 06:10:00,2025-03-14 07:40:00,completed,10,,General Handling
S00163,C068,I017,A016,Pune,2025-04-26 13:00:00,2025-04-26 14:30:00,2025-04-26 13:09:00,2025-04-26 14:39:00,completed,9,,Cross Country
S00164,C177,I029,A005,Mysuru,2025-01-24 08:00:00,2025-01-24 09:30:00,2025-01-24 08:28:00,2025-01-24 09:58:00,completed,28,,General Handling
S00165,C012,I014,A011,Mysuru,2025-01-07 11:00:00,2025-01-07 12:30:00,2025-01-07 11:03:00,2025-01-07 12:33:00,completed,3,,Cross Country
S00166,C108,I028,A025,Hyderabad,2025-05-09 10:00:00,2025-05-09 11:30:00,2025-05-09 11:00:00,2025-05-09 12:30:00,delayed,60,,Cross Country
S00167,C181,I004,A006,Bangalore,2025-01-21 10:00:00,2025-01-21 11:30:00,2025-01-21 10:14:00,2025-01-21 11:44:00,completed,14,,Navigation
S00168,C020,I023,A016,Pune,2025-03-23 06:00:00,2025-03-23 07:30:00,2025-03-23 06:21:00,2025-03-23 07:51:00,completed,21,,Circuit
S00169,C079,I005,A004,Chennai,2025-02-05 05:00:00,2025-02-05 06:30:00,2025-02-05 05:18:00,2025-02-05 06:48:00,completed,18,,Cross Country
S00170,C033,I012,A015,Mysuru,2025-06-28 18:00:00,2025-06-28 19:30:00,2025-06-28 18:08:00,2025-06-28 19:38:00,completed,8,,Cross Country
S00171,C200,I018,A001,Mysuru,2025-04-25 14:00:00,2025-04-25 15:30:00,2025-04-25 14:30:00,2025-04-25 16:00:00,delayed,30,,Navigation
S00172,C158,I020,A023,Chennai,2025-01-05 09:00:00,2025-01-05 10:30:00,,,cancelled,0,Weather,Circuit
